Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-17 00:00:00-05:00,19.700000762939453,19.729999542236328,19.200000762939453,19.729999542236328,1500,0.0,0.0
2022-11-18 00:00:00-05:00,19.389999389648438,19.75,19.020000457763672,19.68000030517578,2200,0.0,0.0
2022-11-21 00:00:00-05:00,19.420000076293945,19.469999313354492,19.420000076293945,19.420000076293945,600,0.0,0.0
2022-11-22 00:00:00-05:00,19.170000076293945,19.5,18.850000381469727,19.059999465942383,9600,0.0,0.0
2022-11-23 00:00:00-05:00,19.0,19.25,18.850000381469727,19.18000030517578,4800,0.0,0.0
2022-11-25 00:00:00-05:00,19.399999618530273,19.5,19.399999618530273,19.399999618530273,2900,0.0,0.0
2022-11-28 00:00:00-05:00,19.450000762939453,19.450000762939453,19.299999237060547,19.399999618530273,2200,0.0,0.0
2022-11-29 00:00:00-05:00,19.350000381469727,19.399999618530273,19.350000381469727,19.350000381469727,9000,0.0,0.0
2022-11-30 00:00:00-05:00,19.5,21.0,19.350000381469727,21.0,15900,0.0,0.0
2022-12-01 00:00:00-05:00,20.899999618530273,20.899999618530273,20.100000381469727,20.100000381469727,12200,0.0,0.0
2022-12-02 00:00:00-05:00,19.700000762939453,19.799999237060547,19.700000762939453,19.799999237060547,600,0.0,0.0
2022-12-05 00:00:00-05:00,19.850000381469727,19.93000030517578,19.700000762939453,19.850000381469727,1800,0.0,0.0
2022-12-06 00:00:00-05:00,19.75,19.850000381469727,19.75,19.850000381469727,3700,0.0,0.0
2022-12-07 00:00:00-05:00,19.850000381469727,19.850000381469727,19.799999237060547,19.850000381469727,8600,0.0,0.0
2022-12-08 00:00:00-05:00,19.850000381469727,20.0,19.850000381469727,20.0,1400,0.0,0.0
2022-12-09 00:00:00-05:00,20.0,20.0,19.899999618530273,19.899999618530273,2000,0.0,0.0
2022-12-12 00:00:00-05:00,19.899999618530273,19.899999618530273,19.899999618530273,19.899999618530273,500,0.0,0.0
2022-12-13 00:00:00-05:00,19.899999618530273,20.0,19.899999618530273,20.0,7000,0.0,0.0
2022-12-14 00:00:00-05:00,19.899999618530273,19.899999618530273,19.899999618530273,19.899999618530273,22500,0.0,0.0
